Date,ID,SYMBOL,MIC,FREE_FLOAT_PERCENTAGE,EST_VOL,MDV_63,Open,High,Low,Close,Volume,PxAdjFactor,SharesAdjFactor
20140805,BBG000BWVSR1,WM,XNYS,96.8457,0.12351,64251864.0,44.53,44.82,44.33,44.5,2883162.0,1.2793012,1.0
20140805,BBG000BLMZK6,KMX,XNYS,99.3588,0.20495,62843216.0,50.24,50.41,49.49,49.68,1267123.0,1.0,1.0
20140805,BBG000RNTSX0,ULTA,XNGS,93.4007,0.31815,66853268.0,93.95,95.89,93.885,95.32,681156.0,1.0111895,1.0
20140805,BBG000H9G7X2,ANF,XNYS,98.4713,0.36914,63760050.0,39.42,40.7,39.15,40.5,2316099.0,1.1278017,1.0
20140805,BBG000BV3SC0,ROC,XNYS,98.3939,0.19658,64277484.0,79.85,80.46,79.64,80.12,2496125.0,1.0629319,1.0
20140805,BBG000BG3445,COO,XNYS,99.1657,0.2191,64056308.0,159.05,160.585,158.0,158.3,447128.0,1.0077672,1.0
20140805,BBG000C23KJ3,AES,XNYS,91.4495,0.14711,69530376.0,14.74,14.81,14.43,14.5,4224662.0,1.0274055,1.0
20140805,BBG000V31J96,CPN,XNYS,99.2811,0.17554,64242536.0,22.51,22.57,22.0,22.14,2836191.0,1.0,1.0
20140805,BBG001XJRMF5,SLCA,XNYS,99.7779,0.36395,64019184.0,59.4,60.58,57.93,58.43,2047758.0,1.0537264,1.0
20140805,BBG000BYWTX7,MRVL,XNGS,79.9116,0.25563,79999380.0,13.2,13.35,13.01,13.05,7224892.0,1.0471617,1.0
20140805,BBG000CB8Q50,UHS,XNYS,98.429,0.2249199999999999,65018652.0,106.4,107.67,105.81,106.88,750556.0,2.0832362,0.5
20140805,BBG000BJ8YN7,FAST,XNGS,91.9471,0.15377,70169290.0,44.3,44.4212,43.44,43.74,3816453.0,2.313481,0.5
20140805,BBG000BFJ645,WIN,XNGS,98.9778,0.22201,65630964.0,11.42,11.655,11.4,11.58,10076674.0,1.8885553,1.0
20140805,BBG001B4BV87,FBHS,XNYS,99.3246,0.1939,65692116.0,38.19,39.55,38.19,39.26,3030388.0,1.0129974,1.0
20140805,BBG000Q0BPZ4,CIT,XNYS,99.2661,0.18955,65854892.0,48.66,48.95,48.15,48.41,1198098.0,1.0065657,1.0
20140805,BBG000QN4GY3,RLGY,XNYS,99.4159,0.31015,65860364.0,37.72,38.45,37.4,37.95,2462157.0,1.0,1.0
20140805,BBG000BLXZN1,TSCO,XNGS,98.8888,0.18439,66230556.0,61.47,62.49,61.38,61.82,904157.0,4.146067,0.25
20140805,BBG000BPZBB6,NI,XNYS,99.1731,0.14892,66153944.0,37.28,37.33,36.5,36.69,3145419.0,1.3863732,1.0
20140805,BBG000BQV1S2,SYNA,XNGS,98.8086,0.44086,67172960.0,78.4,80.3,78.301,79.51,972440.0,1.5,0.6666667
20140805,BBG000L8CBX4,TDG,XNYS,91.5749,0.1435,72518340.0,169.1,175.47,168.61,175.11,1308138.0,1.720515,1.0
